id,first_author,year,country,n_patients,procedure,primary_outcome,n_events,event_pct,mean_euroscore2,mean_age,mean_lvef,nos,quality
C01,Nashef,2012,UK,22381,Mixed,mortality_30d,448,2.0,2.0,67.2,58.1,9,Good
C02,Ranucci,2013,Italy,4896,CABG,mortality_30d,73,1.49,1.5,65.8,57.4,8,Good
C03,Benedetto,2013,UK,3102,Valve,mortality_30d,93,3.0,4.1,71.3,52.8,8,Good
C04,Chalmers,2014,UK,5842,CABG,af_postop,1402,24.0,1.8,66.1,56.9,7,Good
C05,Attaran,2014,Iran,892,Mixed,mortality_30d,27,3.03,3.2,68.4,54.2,7,Good
C06,Moser,2015,Germany,6741,CABG,af_postop,1685,25.0,2.1,65.3,57.8,8,Good
C07,Giakoumidakis,2015,Greece,1204,Mixed,aki_postop,241,20.02,3.8,70.1,51.4,7,Good
C08,Grant,2016,USA,9832,Mixed,mortality_30d,216,2.2,2.4,67.9,56.3,9,Good
C09,Kirmani,2016,UK,2341,Valve,af_postop,609,26.01,4.6,72.4,50.1,8,Good
C10,Fukui,2016,Japan,1893,CABG,aki_postop,284,15.0,1.9,64.8,58.7,7,Good
C11,Biancari,2017,Finland,4521,Mixed,stroke_postop,113,2.5,2.8,68.2,55.9,8,Good
C12,Dimarakis,2017,UK,3214,CABG,reintubation,193,6.0,2.2,66.4,57.1,7,Good
C13,Head,2018,Europe,13804,Valve,mortality_30d,276,2.0,3.9,71.8,51.6,9,Good
C14,Shaefi,2018,USA,2108,CABG,aki_postop,337,15.99,1.7,65.1,58.4,8,Good
C15,Toumpoulis,2019,Greece,1547,Mixed,af_postop,371,23.98,3.4,69.7,53.2,7,Good
C16,Chikwe,2019,USA,7823,Valve,mortality_30d,156,1.99,4.2,72.1,50.8,9,Good
C17,Vogt,2019,Germany,2893,CABG,stroke_postop,58,2.0,2.3,66.8,57.3,8,Good
C18,Squiers,2020,USA,3412,Mixed,reintubation,205,6.01,2.9,67.5,55.4,7,Good
C19,Patel,2020,UK,4201,Mixed,af_postop,1008,23.99,3.1,68.9,54.7,8,Good
C20,Yap,2020,Netherlands,2714,Valve,aki_postop,380,14.0,4.8,73.2,49.3,8,Good
C21,Mehta,2021,Canada,5634,CABG,mortality_30d,85,1.51,1.6,64.9,58.9,9,Good
C22,Coutinho,2021,Portugal,1823,Mixed,stroke_postop,55,3.02,3.6,70.4,52.1,7,Good
C23,Guo,2021,China,6341,CABG,af_postop,1395,22.0,2.0,65.6,57.6,8,Good
C24,Lopez-Forte,2022,Spain,2104,Valve,reintubation,147,6.99,4.3,71.9,50.4,7,Good
C25,Axtell,2022,USA,3891,Mixed,mortality_30d,78,2.0,2.7,67.3,56.1,8,Good
C26,Kirov,2023,Russia,1642,CABG,aki_postop,246,14.98,2.1,65.2,58.2,7,Good
C27,Malaisrie,2023,USA,4218,Valve,af_postop,1097,26.01,4.5,72.6,50.9,9,Good
C28,Dixit,2024,India,2103,Mixed,mortality_30d,63,3.0,3.3,68.7,53.8,8,Good
